State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
DC,97056,IMMACULATE HEALTH CARE SERVICES INC,"2512 24TH STREET, NE",WASHINGTON,20018,2028328340,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/09/2004,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97057,KBC NURSING AGENCY & HOME HEALTH CARE INC,7506 GEORGIA AVENUE NW UNIT 1,WASHINGTON,20012,2022916973,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,10/04/2004,2,-,168,227,74.0,-,6,158,3.8,-,160,218,77.0,-,166,217,72.6,-,182,218,83.5,-,98,133,80.2,-,97,155,66.9,-,2,218,1.1,-,68,253,26.9,-,1,253,0.4,-,121,218,55.50,-,126,179,70.39,-,33,39,84.62,-,14,21,66.67,69.30,50.18,84.81,Same As National Rate,-,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.81,-,27
DC,97058,T & N RELIABLE NURSING CARE,3500 18TH STREET NE,WASHINGTON,20018,2025296510,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,12/17/2004,1,-,19,32,59.4,-,-,-,-,The number of patient episodes for this measure is too small to report.,8,22,49.7,-,6,22,36.4,-,7,22,45.4,-,9,20,57.0,-,5,21,35.4,-,1,23,3.9,-,21,34,61.8,-,0,34,0.0,-,4,22,18.18,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,1,27,3.70,19.38,9.17,38.44,Worse Than National Rate,-,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.92,-,36
DC,97059,MAXIM HEALTHCARE SERVICES INC,"1100 NEW JERSEY AVENUE, SE SUITE #845",WASHINGTON,20003,2025456980,PROPRIETARY,Yes,No,No,No,No,Yes,03/17/2005,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97061,"ABA HOME HEALTH CARE, INC","821 KENNEDY STREET, NW",WASHINGTON,20011,2027221725,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,07/13/2006,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97062,ALLIANCE HOME HEALTH CARE & EQUIPMENT SERVICES,7826 EASTERN AVENUE SUITE # 406,WASHINGTON,20010,2025451630,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,08/04/2006,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97063,"PREMIER HEALTHCARE SERVICES, INC","7600 GEORGIA AVENUE, NW   SUITE#323",WASHINGTON,20012,2027233060,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,01/05/2007,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97065,LINAC SERVICES INC,721 48TH STREET NE,WASHINGTON,20019,2025419844,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/26/2007,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97066,AMERICARE IN HOME NURSING,"1441 L STREET, NW, SUITE 630",WASHINGTON,20005,7039122080,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/19/2007,3.5,-,638,678,94.1,-,339,430,78.8,-,427,503,84.5,-,453,501,91.8,-,418,496,86.3,-,425,441,94.3,-,430,494,82.5,-,0,506,0.0,-,677,679,99.7,-,2,679,0.3,-,362,501,72.26,-,18,59,30.51,-,416,447,93.06,-,283,377,75.07,79.62,74.69,83.06,Same As National Rate,-,4,186,2.15,3.47,2.44,4.75,Same As National Rate,-,11,203,5.42,6.57,4.24,9.79,Better Than National Rate,-,0.90,-,459
DC,97067,CAPITOL VIEW HOME HEALTH CARE AGENCY,"1990 K STREET, NW, SUITE #460",WASHINGTON,20036,2022991109,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,01/08/2008,3.5,-,156,158,98.7,-,87,93,93.5,-,121,133,86.1,-,114,133,80.1,-,126,133,90.8,-,113,122,92.5,-,123,133,85.8,-,0,133,0.0,-,157,158,99.4,-,0,157,0.0,-,104,133,78.20,-,-,-,-,The number of patient episodes for this measure is too small to report.,121,129,93.80,-,26,34,76.47,75.03,60.74,84.82,Same As National Rate,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0,31,0.00,7.52,4.08,15.75,Same As National Rate,-,0.95,-,42
