Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
American Legion Post 40,Veterans Organization,500 5th St,Annapolis,MD,21403,Anne Arundel County,410-263-2683,https://www.legion40.org,
Anne Arundel County Veterans Affairs Office,Veterans Organization,,,MD,,Anne Arundel County,410-222-3822,,Government agency
Sinclair Prosser Gasior,Financial/Legal Services,900 Bestgate Rd #103,Annapolis,MD,21401,Anne Arundel County,410-573-4818,,Elder Law & Estate Planning
Barranco & Sons Funeral Home,Funeral Home,495 Ritchie Hwy,Severna Park,MD,21146,Anne Arundel County,410-647-2400,https://www.barrancofuneralhome.com,
John M. Taylor Funeral Home,Funeral Home,147 Duke of Gloucester St,Annapolis,MD,21401,Anne Arundel County,410-263-4422,https://www.johnmtaylorfuneralhome.com,
Kalas Funeral Home & Crematory,Funeral Home,2973 Solomons Island Rd,Edgewater,MD,21037,Anne Arundel County,410-956-4488,https://www.kalasfuneralhomes.com,
Anne Arundel County Annual Caregivers' Conference,Event,101 College Pkwy,Arnold,MD,21012,Anne Arundel County,,,Held at Anne Arundel Community College
Health and Wellness Expo,Event,119 S Villa Ave,Annapolis,MD,21401,Anne Arundel County,,,Held at Annapolis Senior Activity Center
Waldorf Senior and Recreational Center,Senior Center,90 Post Office Rd,Waldorf,MD,20602,Charles County,301-638-4420,https://www.charlescountymd.gov/government/departments/community-services/aging-and-human-services/senior-centers,
Indian Head Senior Center,Senior Center,100 Cornwallis Square,Indian Head,MD,20640,Charles County,301-743-3010,,
Richard R. Clark Senior Center,Senior Center,1210 Charles St,La Plata,MD,20646,Charles County,301-934-9305,,
Charles County Aging and Human Services,Government Agency,8190 Port Tobacco Rd,Port Tobacco,MD,20677,Charles County,301-934-9305,https://www.charlescountymd.gov/government/departments/community-services/aging-and-human-services,
Charles County Department of Social Services,Government Agency,200 Kent Ave,La Plata,MD,20646,Charles County,301-392-6400,,
Maryland Access Point (MAP) of Charles County,Government Agency,,,MD,,Charles County,301-934-0118,,
American Legion Post 82,Veterans Organization,6330 Crain Hwy,La Plata,MD,20646,Charles County,301-934-8221,,
VFW Post 10081,Veterans Organization,6101 Crain Hwy,La Plata,MD,20646,Charles County,301-934-8221,,
Charles County Veterans Affairs Office,Veterans Organization,,,MD,,Charles County,301-645-0555,,Government agency
Law Office of Virginia L. Yeoman,Financial/Legal Services,1320 Central Ave #202,Waldorf,MD,20601,Charles County,301-705-5655,,Elder Law
Raymond Funeral Service,Funeral Home,5635 Washington Ave,La Plata,MD,20646,Charles County,301-934-2920,https://www.raymondfuneralservice.com,
Brinsfield Funeral Homes,Funeral Home,30195 Three Notch Rd,Charlotte Hall,MD,20622,Charles County,301-472-4400,https://www.brinsfieldfuneral.com,
Arehart-Echols Funeral Home,Funeral Home,211 St Mary's Ave,La Plata,MD,20646,Charles County,301-934-8342,https://www.arehartechols.com,
Charles County Senior Living Expo,Event,90 Post Office Rd,Waldorf,MD,20602,Charles County,,,Held at Waldorf Senior and Recreational Center
Herndon Senior Center,Senior Center,873 Grace St,Herndon,VA,20170,Fairfax County,703-464-6200,https://www.fairfaxcounty.gov/neighborhood-community-services/senior-centers/herndon,
Little River Glen Senior Center,Senior Center,4001 Barker Ct,Fairfax,VA,22032,Fairfax County,703-503-8703,https://www.fairfaxcounty.gov/neighborhood-community-services/senior-centers/little-river-glen,
Lincolnia Senior Center,Senior Center,4710 N Chambliss St,Alexandria,VA,22312,Fairfax County,703-914-0223,,
South County Senior Center,Senior Center,8350 Richmond Highway,Alexandria,VA,22309,Fairfax County,703-704-6216,,
Fairfax County Area Agency on Aging,Government Agency,12011 Government Center Pkwy,Fairfax,VA,22035,Fairfax County,703-324-7948,https://www.fairfaxcounty.gov/familyservices/older-adults,
Fairfax County Adult and Aging Services,Government Agency,12011 Government Center Pkwy,Fairfax,VA,22035,Fairfax County,703-324-7500,,
ElderLink,Government Agency,,,VA,,Fairfax County,703-324-5374,https://www.fairfaxcounty.gov/familyservices/older-adults/elderlink,Information and referral service
American Legion Post 177,Veterans Organization,3939 Oak St,Fairfax,VA,22030,Fairfax County,703-273-2250,https://www.post177.org,
VFW Post 8469,Veterans Organization,5703 Vogue Rd,Fairfax Station,VA,22039,Fairfax County,703-250-9181,,
Thompson Wildhack PLC,Financial/Legal Services,6045 Wilson Blvd Suite 101,Arlington,VA,22205,Arlington,703-237-0027,,Elder Law
Fairfax County Veterans Services,Veterans Organization,8350 Richmond Highway Suite 233,Alexandria,VA,22309,Fairfax County,703-704-6700,,Government agency
Everly-Wheatley Funeral Home,Funeral Home,1500 W Braddock Rd,Alexandria,VA,22302,Fairfax County,703-998-9200,https://www.dignitymemorial.com/funeral-homes/alexandria-va/everly-wheatley-funeral-home/4808,
Fairfax Memorial Funeral Home,Funeral Home,9902 Braddock Rd,Fairfax,VA,22032,Fairfax County,703-425-9702,https://www.fmfh.com,
Murphy Funeral Homes,Funeral Home,1102 W Broad St,Falls Church,VA,22046,Fairfax County,703-533-0341,https://www.murphyfuneralhomes.com,
Northern Virginia Aging Network (NVAN) Legislative Breakfast,Event,12000 Government Center Pkwy,Fairfax,VA,22035,Fairfax County,,,Held at Fairfax County Government Center
Fairfax County 50+ Employment Expo,Event,12000 Government Center Pkwy,Fairfax,VA,22035,Fairfax County,,,Held at Fairfax County Government Center
Arlington Mill Senior Center,Senior Center,909 S Dinwiddie St,Arlington,VA,22204,Arlington,703-228-7369,https://parks.arlingtonva.us/locations/arlington-mill-community-center/,
Langston-Brown Senior Center,Senior Center,2121 N Culpeper St,Arlington,VA,22207,Arlington,703-228-6300,https://parks.arlingtonva.us/locations/langston-brown-community-center/,
Aurora Hills Senior Center,Senior Center,735 18th St S,Arlington,VA,22202,Arlington,703-228-5722,https://parks.arlingtonva.us/locations/aurora-hills-community-center/,
Arlington County Aging and Disability Services,Government Agency,2100 Washington Blvd,Arlington,VA,22204,Arlington,703-228-1700,https://www.arlingtonva.us/Government/Departments/DHS/Aging-Disability,
Arlington Adult Protective Services,Government Agency,,,VA,,Arlington,703-228-1350,,
Arlington Agency on Aging,Government Agency,2100 Washington Blvd,Arlington,VA,22204,Arlington,703-228-1700,,
American Legion Post 139,Veterans Organization,3445 Washington Blvd,Arlington,VA,22201,Arlington,703-524-1397,,
Arlington County Veterans Services,Veterans Organization,2100 Washington Blvd,Arlington,VA,22204,Arlington,703-228-1700,,Government agency
Bean Kinney & Korman,Financial/Legal Services,2311 Wilson Blvd #500,Arlington,VA,22201,Arlington,703-525-4000,,Elder Law
Murphy Funeral Home (Arlington),Funeral Home,4510 Wilson Blvd,Arlington,VA,22203,Arlington,703-920-4800,https://www.murphyfuneralhomes.com,
Advent Funeral & Cremation Services,Funeral Home,7211 Lee Hwy,Falls Church,VA,22046,Arlington,703-854-9577,https://adventfuneral.com,
Arlington County 55+ Expo,Event,3501 2nd St S,Arlington,VA,22204,Arlington,,,Held at Thomas Jefferson Community Center during Arlington County Fair
Hattie Holmes Senior Wellness Center,Senior Center,324 Kennedy St NW,Washington,DC,20011,Washington DC,202-291-6170,https://dacl.dc.gov/service/senior-wellness-centers,
Model Cities Senior Wellness Center,Senior Center,1901 Evarts St NE,Washington,DC,20018,Washington DC,202-635-1900,https://dacl.dc.gov/service/senior-wellness-centers,
Washington Seniors Wellness Center,Senior Center,3531 Georgia Ave NW,Washington,DC,20010,Washington DC,202-541-6100,,
Around Town DC,Senior Center,4125 Albemarle St NW,Washington,DC,20016,Washington DC,202-223-9679,https://aroundtowndc.org,Community organization
DC Department of Aging and Community Living,Government Agency,500 K St NE,Washington,DC,20002,Washington DC,202-724-5626,https://dacl.dc.gov/,
DC Office on Aging,Government Agency,500 K St NE,Washington,DC,20002,Washington DC,202-724-5626,,
Adult Protective Services (DC),Government Agency,,,DC,,Washington DC,202-541-3950,https://dhs.dc.gov/service/adult-protective-services,
American Legion Post 8,Veterans Organization,224 D St SE,Washington,DC,20003,Washington DC,202-543-9163,,
DC Veterans Affairs Medical Center,Veterans Organization,50 Irving St NW,Washington,DC,20422,Washington DC,202-745-8000,https://www.washingtondc.va.gov/,
Morris Klein Esq.,Financial/Legal Services,4550 Montgomery Ave #775N,Bethesda,MD,20814,Montgomery County,301-652-4462,,Elder Law (serves DC area)
Joseph Gawler's Sons,Funeral Home,5130 Wisconsin Ave NW,Washington,DC,20016,Washington DC,202-966-6400,https://www.dignitymemorial.com/funeral-homes/washington-dc/joseph-gawlers-sons-llc/1761,
McGuire Funeral Home,Funeral Home,7400 Georgia Ave NW,Washington,DC,20012,Washington DC,202-882-6600,https://www.mcguire-services.com,
Pope Funeral Homes,Funeral Home,5538 Marlboro Pike,District Heights,MD,20747,Prince George's County,301-459-8200,https://www.popefh.com,Serves DC area
Mayor's Annual Senior Symposium,Event,801 Mt Vernon Pl NW,Washington,DC,20001,Washington DC,,,Held at Walter E. Washington Convention Center
DC Senior Health & Wellness Fair,Event,801 Mount Vernon Place NW,Washington,DC,20001,Washington DC,,,Held at Washington Convention Center
