State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
VA,497559,"CAREGIVERS HOME HEALTH SERVICES, INC","8500 LEESBURG PIKE, SUITE 500",TYSONS,22182,7035326210,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/08/1999,3.5,-,"3,699","3,701",99.9,-,"2,005","2,298",87.2,-,"2,267","2,519",87.3,-,"2,319","2,517",89.4,-,"2,294","2,519",91.9,-,"2,387","2,523",90.8,-,"2,329","2,497",89.6,-,5,"2,586",0.0,-,"3,671","3,702",99.2,-,27,"3,700",0.7,-,"1,948","2,517",77.39,-,147,168,87.50,-,"2,348","2,412",97.35,-,"1,624","2,277",71.32,73.95,72.47,75.49,Worse Than National Rate,-,54,"1,464",3.69,4.27,3.52,5.23,Same As National Rate,-,137,"1,017",13.47,13.81,11.70,15.99,Worse Than National Rate,-,0.97,-,"3,411"
VA,497568,ESPRIT HOME HEALTHCARE LLC,4209 EVERGREEN LANE SUITE 101,ANNANDALE,22003,7039987400,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/22/2001,4.5,-,200,200,100.0,-,133,136,97.8,-,147,158,90.9,-,151,158,92.5,-,144,158,92.8,-,148,150,97.2,-,149,158,91.9,-,0,158,0.0,-,199,200,99.5,-,1,200,0.5,-,116,158,73.42,-,14,30,46.67,-,118,128,92.19,-,245,313,78.27,79.15,75.14,83.00,Same As National Rate,-,6,128,4.69,4.03,2.88,5.85,Same As National Rate,-,7,160,4.38,6.70,4.19,10.50,Same As National Rate,-,0.94,-,551
VA,497570,ENHABIT HOME HEALTH,5501 BACKLICK ROAD STE 250,SPRINGFIELD,22151,7035501400,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/27/2001,2,-,420,604,69.5,-,216,352,61.4,-,323,458,71.6,-,361,453,79.3,-,335,459,75.1,-,139,163,90.5,-,290,444,70.4,-,0,483,0.0,-,570,604,94.4,-,8,592,1.4,-,284,458,62.01,-,42,59,71.19,-,383,424,90.33,-,614,755,81.32,81.51,78.31,83.67,Better Than National Rate,-,7,455,1.54,3.22,2.37,4.16,Same As National Rate,-,22,323,6.81,8.37,6.11,10.96,Same As National Rate,-,0.96,-,"1,147"
VA,497574,INTERIM HEALTHCARE,10340 DEMOCRACY LN,FAIRFAX,22030,2762002606,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/23/2002,2,-,25,28,89.3,-,-,-,-,The number of patient episodes for this measure is too small to report.,14,22,64.2,-,14,22,62.4,-,17,22,73.9,-,-,-,-,The number of patient episodes for this measure is too small to report.,14,20,66.0,-,0,22,0.0,-,27,28,96.4,-,0,28,0.0,-,9,22,40.91,-,-,-,-,The number of patient episodes for this measure is too small to report.,19,20,95.00,-,53,72,73.61,76.10,66.30,84.79,Same As National Rate,-,0,29,0.00,3.70,2.41,5.17,Same As National Rate,-,2,28,7.14,9.53,5.14,18.97,Same As National Rate,-,0.95,-,123
VA,497577,AVEANNA HEALTHCARE,"3554 CHAIN BRIDGE RD, STE 103",FAIRFAX,22030,7038737672,PROPRIETARY,Yes,Yes,Yes,Yes,No,No,02/05/2003,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
VA,497587,NATIONAL HOME HEALTH CARE INC,"459 HERNDON PARKWAY, SUITE 17",HERNDON,20170,7037873060,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/06/2004,3,-,967,"1,038",93.2,-,477,608,78.5,-,528,737,84.8,-,548,725,87.5,-,556,740,83.8,-,350,409,96.0,-,402,642,79.5,-,2,777,0.2,-,939,"1,039",90.4,-,19,"1,027",1.9,-,440,745,59.06,-,132,184,71.74,-,536,593,90.39,-,"1,214","1,606",75.59,79.81,77.49,81.56,Better Than National Rate,-,34,814,4.18,4.29,3.46,5.49,Same As National Rate,-,60,748,8.02,8.05,6.33,10.16,Same As National Rate,-,0.97,-,"2,412"
VA,497596,GREENSPRING VILLAGE HOME SUPPORT SERVICES,7410 SPRING VILLAGE DRIVE,SPRINGFIELD,22150,7039233123,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,03/24/2005,3,-,271,280,96.8,-,171,178,96.1,-,186,215,85.3,-,194,215,91.4,-,196,215,89.0,-,159,203,77.2,-,158,214,72.7,-,0,220,0.0,-,252,280,90.0,-,2,277,0.7,-,178,213,83.57,-,-,-,-,The number of patient episodes for this measure is too small to report.,203,206,98.54,-,244,305,80.00,90.53,86.06,95.16,Better Than National Rate,-,6,178,3.37,3.72,2.68,5.26,Same As National Rate,-,14,172,8.14,8.50,5.72,11.76,Same As National Rate,-,1.09,-,399
VA,497605,VIRGINIA HEALTHCARE SERVICES,"7010 LITTLE RIVER TURNPIKE, SUITE 400",ANNANDALE,22003,7033335288,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/20/2005,3.5,-,"1,638","1,638",100.0,-,879,"1,044",84.2,-,"1,106","1,265",84.5,-,"1,085","1,264",85.4,-,"1,086","1,269",86.0,-,642,789,83.8,-,"1,058","1,258",79.6,-,3,"1,300",0.3,-,"1,619","1,638",98.8,-,7,"1,638",0.4,-,944,"1,280",73.75,-,115,171,67.25,-,"1,051","1,120",93.84,-,154,208,74.04,74.27,68.35,79.40,Same As National Rate,-,4,88,4.55,4.03,2.80,5.83,Same As National Rate,-,5,97,5.15,8.41,5.06,13.16,Same As National Rate,-,0.83,-,431
VA,497616,HOME RECOVERY,6225 BRANDON AVE SUITE 440B,SPRINGFIELD,22150,7034811919,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/24/2006,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,The number of patient episodes for this measure is too small to report.,2
VA,497626,"SHEME HOME HEALTHCARE AGENCY, INC","4024 WILLIAMSBURG CT, FIRST FLOOR",FAIRFAX,22032,7032780081,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/17/2007,3,-,95,96,99.0,-,64,65,98.5,-,45,64,75.7,-,48,64,80.8,-,50,64,85.1,-,47,54,91.1,-,38,61,76.8,-,0,65,0.0,-,96,96,100.0,-,1,96,1.0,-,26,62,41.94,-,20,24,83.33,-,37,41,90.24,-,78,105,74.29,74.68,66.61,80.34,Same As National Rate,-,0,21,0.00,3.75,2.47,5.52,Same As National Rate,-,4,61,6.56,9.31,4.52,14.86,Same As National Rate,-,0.90,-,335
VA,497636,"PAVILION MEDICAL HOME CARE & STAFFING, LLC","4115 ANNANDALE ROAD, SUITE 202",ANNANDALE,22003,7032999898,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/01/2008,4,-,271,302,89.7,-,130,161,80.7,-,211,232,91.5,-,193,230,85.4,-,205,230,91.4,-,183,186,98.7,-,205,223,93.6,-,0,236,0.0,-,271,305,88.9,-,0,305,0.0,-,152,234,64.96,-,62,102,60.78,-,62,134,46.27,-,337,474,71.10,77.95,74.16,81.95,Same As National Rate,-,20,316,6.33,4.56,3.39,5.93,Same As National Rate,-,20,222,9.01,8.71,6.00,12.11,Same As National Rate,-,0.93,-,746
VA,497638,REVIVAL HOMECARE AGENCY,5101C BACKLICK ROAD,ANNANDALE,22003,7033416670,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/16/2008,3.5,-,262,301,87.0,-,155,170,91.2,-,223,238,92.4,-,216,237,88.3,-,222,239,92.3,-,220,228,93.9,-,214,238,89.5,-,0,244,0.0,-,296,301,98.3,-,1,299,0.3,-,150,238,63.03,-,55,71,77.46,-,148,173,85.55,-,182,235,77.45,80.90,76.34,85.53,Better Than National Rate,-,2,123,1.63,3.65,2.48,5.38,Same As National Rate,-,6,76,7.89,9.23,5.29,14.24,Same As National Rate,-,0.91,-,407
VA,497649,GOODHEART HOME HEALTHCARE SERVICES,5411A BACKLICK RD,SPRINGFIELD,22151,7032564920,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/03/2009,3,-,242,244,99.2,-,136,151,90.1,-,120,172,80.1,-,132,171,86.6,-,121,171,83.3,-,122,133,99.6,-,88,170,75.1,-,1,186,0.2,-,244,245,99.6,-,4,245,1.6,-,91,170,53.53,-,28,82,34.15,-,91,104,87.50,-,278,417,66.67,67.94,63.05,72.41,Worse Than National Rate,-,1,65,1.54,3.73,2.66,5.32,Same As National Rate,-,23,237,9.70,10.82,7.72,14.11,Same As National Rate,-,0.94,-,709
VA,497656,PRO HEALTHCARE SERVICING LLC,8315 LEE HIGHWAY - SUITE 202,FAIRFAX,22031,7033521939,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/26/2010,2,-,310,317,97.8,-,170,243,70.0,-,114,186,70.1,-,142,185,79.8,-,141,186,82.2,-,99,162,65.9,-,69,163,62.6,-,4,220,1.3,-,292,317,92.1,-,12,312,3.8,-,93,167,55.69,-,36,60,60.00,-,112,160,70.00,-,266,483,55.07,61.21,56.59,66.56,Worse Than National Rate,-,5,192,2.60,3.56,2.42,5.14,Same As National Rate,-,35,234,14.96,12.71,10.02,16.95,Worse Than National Rate,-,1.08,-,"1,383"
VA,497662,GOODWIN HOME HEALTH,3440 S JEFFERSON STREET,FALLS CHURCH,22041,7038241390,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,10/12/2010,3.5,-,872,876,99.5,-,476,510,93.3,-,600,677,87.4,-,610,677,88.7,-,616,677,91.6,-,621,673,90.4,-,557,669,84.1,-,1,692,0.0,-,874,876,99.8,-,8,876,0.9,-,445,676,65.83,-,-,-,-,The number of patient episodes for this measure is too small to report.,678,679,99.85,-,833,"1,047",79.56,84.36,82.21,86.16,Better Than National Rate,-,18,500,3.60,3.96,2.98,5.21,Same As National Rate,-,67,605,11.07,11.63,9.18,14.10,Same As National Rate,-,0.95,-,"1,474"
